File,Feature,Trend_Score,Absolute_Trend,Direction
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,TotBytes,0.04795072585113698,0.04795072585113698,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcBytes,0.04119216459573184,0.04119216459573184,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcPkts,0.039780397150743205,0.039780397150743205,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Load,0.03779180357662226,0.03779180357662226,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcLoad,0.036199529368941975,0.036199529368941975,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,TotPkts,0.03493831027207038,0.03493831027207038,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcRate,0.03397033591699714,0.03397033591699714,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,IdleTime,0.03142467622641034,0.03142467622641034,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Rate,0.02728032743537321,0.02728032743537321,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstPkts,0.024720425014383308,0.024720425014383308,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,sMeanPktSz,0.023822124093928764,0.023822124093928764,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstRate,0.02352447072823624,0.02352447072823624,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstWin,0.021963482731367008,0.021963482731367008,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstBytes,0.021937147584355138,0.021937147584355138,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,sTtl,0.016451756522397335,0.016451756522397335,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstLoad,0.01437925441804952,0.01437925441804952,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,TcpRtt,0.012259898375249673,0.012259898375249673,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,AckDat,0.010142213458840418,0.010142213458840418,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,dMeanPktSz,-0.00985583463072784,0.00985583463072784,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcWin,0.009843198261002429,0.009843198261002429,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SynAck,0.006620218397184431,0.006620218397184431,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Mean,0.003853124658449726,0.003853124658449726,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Min,0.003853124658449726,0.003853124658449726,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Max,0.003853124658449726,0.003853124658449726,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Sum,0.003853124658449726,0.003853124658449726,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Dur,0.003853124658449726,0.003853124658449726,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcGap,-0.0020256065897077693,0.0020256065897077693,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstLoss,-0.0008683573384649001,0.0008683573384649001,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,Loss,-0.0007938694091319528,0.0007938694091319528,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstGap,0.0004308591245624722,0.0004308591245624722,Upward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,pLoss,-0.0003625315832975532,0.0003625315832975532,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcLoss,-2.9814020297655225e-05,2.9814020297655225e-05,Downward
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,DstRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,StdDev,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,PCRatio,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,pRetran,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,SrcRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Long/CDR-MLC-Shuffle.csv,dTtl,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcWin,0.021302189069401758,0.021302189069401758,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstLoad,0.015581731358130523,0.015581731358130523,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Load,0.01411383609640449,0.01411383609640449,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,TotBytes,0.012486368127358547,0.012486368127358547,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,sMeanPktSz,0.010731903501226131,0.010731903501226131,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstRate,0.010442207198678487,0.010442207198678487,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcLoad,-0.010012525248710758,0.010012525248710758,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,pLoss,0.008938051672209325,0.008938051672209325,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcBytes,0.008859883489050471,0.008859883489050471,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Mean,0.008750627511075148,0.008750627511075148,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Min,0.008750627511075148,0.008750627511075148,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Max,0.008750627511075148,0.008750627511075148,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Sum,0.008750627511075148,0.008750627511075148,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Dur,0.008750627511075148,0.008750627511075148,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,IdleTime,0.008434700180411587,0.008434700180411587,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,TcpRtt,0.007575719285928759,0.007575719285928759,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,AckDat,0.006918507411261621,0.006918507411261621,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstWin,0.006599744651166879,0.006599744651166879,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,dMeanPktSz,-0.006253496625532852,0.006253496625532852,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstBytes,0.005008638963130044,0.005008638963130044,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcRate,-0.003729340815747326,0.003729340815747326,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcPkts,0.003276931129102907,0.003276931129102907,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SynAck,-0.0031036737339109255,0.0031036737339109255,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstLoss,-0.0025483936473317255,0.0025483936473317255,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstPkts,0.002025997623056293,0.002025997623056293,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,TotPkts,0.0020008783770044925,0.0020008783770044925,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Loss,-0.00120142439651169,0.00120142439651169,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,Rate,-0.0010670191798766847,0.0010670191798766847,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,sTtl,0.0005175196295277021,0.0005175196295277021,Upward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcLoss,-0.0005028688704736092,0.0005028688704736092,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstGap,-0.00014500003086015504,0.00014500003086015504,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcGap,-1.8617624573665859e-06,1.8617624573665859e-06,Downward
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,DstRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,StdDev,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,PCRatio,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,pRetran,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,SrcRetra,0.0,0.0,Neutral
DATASETS/CDR-MLC/scale_5/Short/CDR-MLC-Shuffle.csv,dTtl,0.0,0.0,Neutral
